,GLOB_ID,ALT_LABEL,ALT_LABEL_SOURCE,ALT_LABEL_SOURCE_PAGE,ALT_LABEL_REMARK,ALT_LABEL_REMARK_SOURCE,ALT_LABEL_REMARK_SOURCE_PAGE,,CHECKED?,
Anjengo (Angengo|Ansinga|Ansjenga|Ansjengee|Antsjenge|Anjengoa),GLOB_7,Ansjengen,"NL-HaNA_4.VEL_234A Kaart van de Maldivische Eylanden, de Kust van Malabaar, Madure En Ceilon.",,,,,,FALSE,
Ambanakulangara (),NR_93,Maikollongere,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,,,,FALSE,
Colachel (Colleetche|Colletje|Kolach|Kolachol|Colleetsje),GLOB_273,Coletche,"NL-HaNA_4.VEL_234A Kaart van de Maldivische Eylanden, de Kust van Malabaar, Madure En Ceilon.",,,,,,FALSE,
"Kanniyākumāri (Caab Commorijn|Caab Commerijn|Caab Kommorijn|Caeb Commorijn|Caap Commerijn|Kaap Comorijn|Kanyakumari |Cape Comorin|Comorin, Kaap|Caab Commeryn|Caap Commaryn|Caab Commoryn)",GLOB_877,Caap Comoryn,"NL-HaNA_4.VEL_234A Kaart van de Maldivische Eylanden, de Kust van Malabaar, Madure En Ceilon.",,,,,,FALSE,
Azhikkal (Baliapatam|Valarpattanam),GLOB_176,Balepatan,"NL-HaNA_4.VEL_231 Kaart van Canara En Marabaar, van Onor Tot Cabo Commoryn, En Een Gedeelte van de Kust van Cormandel En Ceylon.",,,,,,FALSE,
Calbara (),NR_20,Kalbare,"NL-HaNA_4.VEL_231 Kaart van Canara en Marabaar, van Onor tot Cabo Commoryn, en een gedeelte van de Kust van Cormandel en Ceylon",,,,,,FALSE,
Tennepatnam  (),NR_2,Tremepatnam,"NL-HaNA_4.VEL_231 Kaart van Canara En Marabaar, van Onor Tot Cabo Commoryn, En Een Gedeelte van de Kust van Cormandel En Ceylon.",,,,,,FALSE,
Kozhikode (Calicata|Calecuth|Calij Catta|Calicatto|Calicut|Calechut|Caliacatta),GLOB2_1010,Kalicout,"NL-HaNA_4.VEL_231 Kaart van Canara En Marabaar, van Onor Tot Cabo Commoryn, En Een Gedeelte van de Kust van Cormandel En Ceylon.",,,,,,FALSE,
Azhikod (Ay Cotta|Azhikode|Aicotta|Aicotte),GLOB_508,Aeicotte,"NL-HaNA_4.VEL_231 Kaart van Canara en Marabaar, van Onor tot Cabo Commoryn, en een gedeelte van de Kust van Cormandel en Ceylon",,,,,,FALSE,
Talecare (),NR_60,Talankarre,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,,,,FALSE,
Thengapattanam (Tengapattanam|Tengapatnam|Tegenepatnam|Tengapatam),GLOB_920,Tengenepatnam,"NL-HaNA_4.VEL_231 Kaart van Canara en Marabaar, van Onor tot Cabo Commoryn, en een gedeelte van de Kust van Cormandel en Ceylon",,,,,,FALSE,
"Kanniyākumāri (Caab Commorijn|Caab Commerijn|Caab Kommorijn|Caeb Commorijn|Caap Commerijn|Kaap Comorijn|Kanyakumari |Cape Comorin|Comorin, Kaap|Caab Commeryn|Caap Commaryn|Caab Commoryn)",GLOB_877,Cabo Commoryn,"NL-HaNA_4.VEL_231 Kaart van Canara En Marabaar, van Onor Tot Cabo Commoryn, En Een Gedeelte van de Kust van Cormandel En Ceylon.",,,,,,FALSE,
Chavakkad (Chavakkadu|Chawecattij|Cawacatty|Chowghat),GLOB_711,Chawacatij,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,FALSE,
Enamākkal (Enamakkal|Inemaka|Inemake|Innemaka),GLOB_326,Enamaka,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,FALSE,
Vadanappally (),NR_29,Maddenapallij,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,FALSE,
Talikkulam (),NR_30,Tallicolongare,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,FALSE,
Cherkara (),NR_32,Cherkare,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,FALSE,
